Date,Home_Team,Away_Team,Team,Player_Id,shift_number,period,start_clock,end_clock,shift_length
2025-10-11,Team D,Team A,Team D,12,1,1,18:08,17:33,00:35
2025-10-11,Team D,Team A,Team A,88,1,1,18:06,17:33,00:33
2025-10-11,Team D,Team A,Team D,44,1,1,18:06,17:33,00:33
2025-10-11,Team D,Team A,Team D,79,1,1,18:06,17:33,00:33
2025-10-11,Team D,Team A,Team D,37,1,1,18:04,17:33,00:31
2025-10-11,Team D,Team A,Team A,48,2,1,17:56,16:45,01:11
2025-10-11,Team D,Team A,Team A,5,2,1,17:56,17:11,00:45
2025-10-11,Team D,Team A,Team A,17,1,1,17:33,16:45,00:48
2025-10-11,Team D,Team A,Team A,14,1,1,17:33,16:45,00:48
2025-10-11,Team D,Team A,Team A,71,1,1,17:33,16:45,00:48
2025-10-11,Team D,Team A,Team D,84,2,1,17:33,16:45,00:48
2025-10-11,Team D,Team A,Team D,50,1,1,17:33,16:45,00:48
2025-10-11,Team D,Team A,Team D,51,2,1,17:33,16:45,00:48
2025-10-11,Team D,Team A,Team D,25,1,1,17:33,16:45,00:48
2025-10-11,Team D,Team A,Team D,75,1,1,17:33,16:45,00:48
2025-10-11,Team D,Team A,Team A,72,2,1,17:11,16:03,01:08
2025-10-11,Team D,Team A,Team A,29,2,1,16:45,16:03,00:42
2025-10-11,Team D,Team A,Team A,59,2,1,16:45,16:03,00:42
2025-10-11,Team D,Team A,Team A,63,2,1,16:45,16:03,00:42
2025-10-11,Team D,Team A,Team A,92,2,1,16:45,16:03,00:42
2025-10-11,Team D,Team A,Team D,42,2,1,16:45,16:03,00:42
2025-10-11,Team D,Team A,Team D,52,2,1,16:45,16:03,00:42
2025-10-11,Team D,Team A,Team D,88,2,1,16:45,16:03,00:42
2025-10-11,Team D,Team A,Team D,77,2,1,16:45,16:03,00:42
2025-10-11,Team D,Team A,Team D,8,2,1,16:45,16:03,00:42
2025-10-11,Team D,Team A,Team A,9,2,1,16:03,15:19,00:44
2025-10-11,Team D,Team A,Team A,48,3,1,16:03,15:21,00:42
2025-10-11,Team D,Team A,Team A,20,2,1,16:03,14:54,01:09
2025-10-11,Team D,Team A,Team A,5,3,1,16:03,15:21,00:42
2025-10-11,Team D,Team A,Team A,39,2,1,16:03,14:50,01:13
2025-10-11,Team D,Team A,Team D,84,3,1,16:03,15:29,00:34
2025-10-11,Team D,Team A,Team D,46,2,1,16:03,15:29,00:34
2025-10-11,Team D,Team A,Team D,51,3,1,16:03,15:29,00:34
2025-10-11,Team D,Team A,Team D,36,2,1,16:03,15:28,00:35
2025-10-11,Team D,Team A,Team D,28,2,1,16:03,15:29,00:34
2025-10-11,Team D,Team A,Team D,63,2,1,15:29,14:36,00:53
2025-10-11,Team D,Team A,Team D,44,2,1,15:29,14:45,00:44
2025-10-11,Team D,Team A,Team D,12,2,1,15:29,14:21,01:08
2025-10-11,Team D,Team A,Team D,79,2,1,15:29,14:46,00:43
2025-10-11,Team D,Team A,Team D,37,2,1,15:28,14:35,00:53
2025-10-11,Team D,Team A,Team A,3,2,1,15:21,14:31,00:50
2025-10-11,Team D,Team A,Team A,45,2,1,15:21,14:37,00:44
2025-10-11,Team D,Team A,Team A,61,2,1,15:19,14:37,00:42
2025-10-11,Team D,Team A,Team A,46,2,1,14:54,14:18,00:36
2025-10-11,Team D,Team A,Team A,88,2,1,14:50,14:18,00:32
2025-10-11,Team D,Team A,Team D,52,3,1,14:46,14:18,00:28
2025-10-11,Team D,Team A,Team D,88,3,1,14:45,14:18,00:27
2025-10-11,Team D,Team A,Team A,17,2,1,14:37,14:18,00:19
2025-10-11,Team D,Team A,Team A,72,3,1,14:37,14:18,00:19
2025-10-11,Team D,Team A,Team D,50,2,1,14:36,14:18,00:18
2025-10-11,Team D,Team A,Team D,25,2,1,14:35,14:18,00:17
2025-10-11,Team D,Team A,Team A,59,3,1,14:31,14:18,00:13
2025-10-11,Team D,Team A,Team D,75,2,1,14:21,14:18,00:03
2025-10-11,Team D,Team A,Team A,9,3,1,14:18,13:23,00:55
2025-10-11,Team D,Team A,Team A,14,2,1,14:18,13:23,00:55
2025-10-11,Team D,Team A,Team A,59,4,1,14:18,13:29,00:49
2025-10-11,Team D,Team A,Team A,63,3,1,14:18,13:23,00:55
2025-10-11,Team D,Team A,Team A,88,3,1,14:18,13:23,00:55
2025-10-11,Team D,Team A,Team D,52,4,1,14:18,13:23,00:55
2025-10-11,Team D,Team A,Team D,88,4,1,14:18,13:23,00:55
2025-10-11,Team D,Team A,Team D,46,3,1,14:18,13:40,00:38
2025-10-11,Team D,Team A,Team D,25,3,1,14:18,13:42,00:36
2025-10-11,Team D,Team A,Team D,8,3,1,13:42,12:47,00:55
2025-10-11,Team D,Team A,Team D,12,3,1,13:40,12:46,00:54
2025-10-11,Team D,Team A,Team A,5,4,1,13:29,12:22,01:07
2025-10-11,Team D,Team A,Team A,29,3,1,13:23,12:31,00:52
2025-10-11,Team D,Team A,Team A,39,3,1,13:23,12:29,00:54
2025-10-11,Team D,Team A,Team A,46,3,1,13:23,12:16,01:07
2025-10-11,Team D,Team A,Team A,92,3,1,13:23,12:16,01:07
2025-10-11,Team D,Team A,Team D,44,3,1,13:23,12:32,00:51
2025-10-11,Team D,Team A,Team D,84,4,1,13:23,12:32,00:51
2025-10-11,Team D,Team A,Team D,77,3,1,12:47,11:54,00:53
2025-10-11,Team D,Team A,Team D,63,3,1,12:46,12:21,00:25
2025-10-11,Team D,Team A,Team D,52,5,1,12:32,11:10,01:22
2025-10-11,Team D,Team A,Team D,88,5,1,12:32,11:13,01:19
2025-10-11,Team D,Team A,Team A,48,4,1,12:31,11:45,00:46
2025-10-11,Team D,Team A,Team A,63,4,1,12:29,11:52,00:37
2025-10-11,Team D,Team A,Team A,45,3,1,12:22,11:45,00:37
2025-10-11,Team D,Team A,Team D,36,3,1,12:21,10:49,01:32
2025-10-11,Team D,Team A,Team D,75,3,1,12:18,11:53,00:25
2025-10-11,Team D,Team A,Team A,61,3,1,12:16,11:03,01:13
2025-10-11,Team D,Team A,Team A,20,3,1,12:16,10:49,01:27
2025-10-11,Team D,Team A,Team D,28,3,1,11:54,10:49,01:05
2025-10-11,Team D,Team A,Team D,42,3,1,11:53,10:49,01:04
2025-10-11,Team D,Team A,Team A,9,4,1,11:52,10:49,01:03
2025-10-11,Team D,Team A,Team A,59,5,1,11:45,10:49,00:56
2025-10-11,Team D,Team A,Team A,72,4,1,11:45,10:13,01:32
2025-10-11,Team D,Team A,Team D,51,4,1,11:13,10:13,01:00
2025-10-11,Team D,Team A,Team D,79,3,1,11:10,10:49,00:21
2025-10-11,Team D,Team A,Team A,14,3,1,11:03,10:13,00:50
2025-10-11,Team D,Team A,Team A,17,3,1,10:49,10:13,00:36
2025-10-11,Team D,Team A,Team A,48,5,1,10:49,10:28,00:21
2025-10-11,Team D,Team A,Team A,71,2,1,10:49,10:13,00:36
2025-10-11,Team D,Team A,Team D,84,5,1,10:49,10:13,00:36
2025-10-11,Team D,Team A,Team D,50,3,1,10:49,10:13,00:36
2025-10-11,Team D,Team A,Team D,25,4,1,10:49,10:13,00:36
2025-10-11,Team D,Team A,Team D,75,4,1,10:49,10:13,00:36
2025-10-11,Team D,Team A,Team A,59,6,1,10:28,10:13,00:15
2025-10-11,Team D,Team A,Team A,29,4,1,10:13,09:16,00:57
2025-10-11,Team D,Team A,Team A,3,3,1,10:13,09:32,00:41
2025-10-11,Team D,Team A,Team A,63,5,1,10:13,09:18,00:55
2025-10-11,Team D,Team A,Team A,45,4,1,10:13,09:04,01:09
2025-10-11,Team D,Team A,Team A,92,4,1,10:13,09:16,00:57
2025-10-11,Team D,Team A,Team D,63,4,1,10:13,09:18,00:55
2025-10-11,Team D,Team A,Team D,52,6,1,10:13,09:18,00:55
2025-10-11,Team D,Team A,Team D,12,4,1,10:13,09:18,00:55
2025-10-11,Team D,Team A,Team D,88,6,1,10:13,09:18,00:55
2025-10-11,Team D,Team A,Team D,37,3,1,10:13,09:18,00:55
2025-10-11,Team D,Team A,Team A,48,6,1,09:32,08:10,01:22
2025-10-11,Team D,Team A,Team A,39,4,1,09:18,08:45,00:33
2025-10-11,Team D,Team A,Team D,44,4,1,09:18,08:45,00:33
2025-10-11,Team D,Team A,Team D,46,4,1,09:18,08:45,00:33
2025-10-11,Team D,Team A,Team D,36,4,1,09:18,08:45,00:33
2025-10-11,Team D,Team A,Team D,28,4,1,09:18,08:45,00:33
2025-10-11,Team D,Team A,Team D,79,4,1,09:18,08:45,00:33
2025-10-11,Team D,Team A,Team A,9,5,1,09:16,08:45,00:31
2025-10-11,Team D,Team A,Team A,20,4,1,09:16,08:45,00:31
2025-10-11,Team D,Team A,Team A,5,5,1,09:04,08:10,00:54
2025-10-11,Team D,Team A,Team A,61,4,1,08:45,08:02,00:43
2025-10-11,Team D,Team A,Team A,88,4,1,08:45,07:53,00:52
2025-10-11,Team D,Team A,Team A,46,4,1,08:45,07:58,00:47
2025-10-11,Team D,Team A,Team D,42,4,1,08:45,07:54,00:51
2025-10-11,Team D,Team A,Team D,84,6,1,08:45,08:02,00:43
2025-10-11,Team D,Team A,Team D,77,4,1,08:45,07:56,00:49
2025-10-11,Team D,Team A,Team D,51,5,1,08:45,08:02,00:43
2025-10-11,Team D,Team A,Team D,8,4,1,08:45,08:02,00:43
2025-10-11,Team D,Team A,Team A,59,7,1,08:10,07:10,01:00
2025-10-11,Team D,Team A,Team A,72,5,1,08:10,07:04,01:06
2025-10-11,Team D,Team A,Team A,17,4,1,08:02,07:13,00:49
2025-10-11,Team D,Team A,Team D,44,5,1,08:02,07:04,00:58
2025-10-11,Team D,Team A,Team D,75,5,1,08:02,07:04,00:58
2025-10-11,Team D,Team A,Team D,79,5,1,08:02,07:04,00:58
2025-10-11,Team D,Team A,Team A,71,3,1,07:58,07:04,00:54
2025-10-11,Team D,Team A,Team D,25,5,1,07:56,07:04,00:52
2025-10-11,Team D,Team A,Team D,50,4,1,07:54,07:04,00:50
2025-10-11,Team D,Team A,Team A,14,4,1,07:53,07:04,00:49
2025-10-11,Team D,Team A,Team A,29,5,1,07:13,06:34,00:39
2025-10-11,Team D,Team A,Team A,3,4,1,07:10,06:34,00:36
2025-10-11,Team D,Team A,Team A,63,6,1,07:04,06:34,00:30
2025-10-11,Team D,Team A,Team A,45,5,1,07:04,06:34,00:30
2025-10-11,Team D,Team A,Team A,92,5,1,07:04,06:34,00:30
2025-10-11,Team D,Team A,Team D,63,5,1,07:04,06:08,00:56
2025-10-11,Team D,Team A,Team D,52,7,1,07:04,06:08,00:56
2025-10-11,Team D,Team A,Team D,12,5,1,07:04,06:08,00:56
2025-10-11,Team D,Team A,Team D,88,7,1,07:04,06:08,00:56
2025-10-11,Team D,Team A,Team D,37,4,1,07:04,06:07,00:57
2025-10-11,Team D,Team A,Team A,9,6,1,06:34,05:42,00:52
2025-10-11,Team D,Team A,Team A,48,7,1,06:34,06:02,00:32
2025-10-11,Team D,Team A,Team A,20,5,1,06:34,05:43,00:51
2025-10-11,Team D,Team A,Team A,5,6,1,06:34,06:02,00:32
2025-10-11,Team D,Team A,Team A,39,5,1,06:34,06:03,00:31
2025-10-11,Team D,Team A,Team D,84,7,1,06:08,05:17,00:51
2025-10-11,Team D,Team A,Team D,46,5,1,06:08,05:24,00:44
2025-10-11,Team D,Team A,Team D,51,6,1,06:08,04:25,01:43
2025-10-11,Team D,Team A,Team D,28,5,1,06:08,04:50,01:18
2025-10-11,Team D,Team A,Team D,36,5,1,06:07,04:25,01:42
2025-10-11,Team D,Team A,Team A,88,5,1,06:03,05:04,00:59
2025-10-11,Team D,Team A,Team A,59,8,1,06:02,05:29,00:33
2025-10-11,Team D,Team A,Team A,72,6,1,06:02,05:29,00:33
2025-10-11,Team D,Team A,Team A,46,5,1,05:43,04:48,00:55
2025-10-11,Team D,Team A,Team A,61,5,1,05:42,04:49,00:53
2025-10-11,Team D,Team A,Team A,48,8,1,05:29,04:44,00:45
2025-10-11,Team D,Team A,Team A,5,7,1,05:29,04:44,00:45
2025-10-11,Team D,Team A,Team D,8,5,1,05:24,03:59,01:25
2025-10-11,Team D,Team A,Team D,79,6,1,05:17,03:30,01:47
2025-10-11,Team D,Team A,Team A,14,5,1,05:04,04:25,00:39
2025-10-11,Team D,Team A,Team D,77,5,1,04:50,03:30,01:20
2025-10-11,Team D,Team A,Team A,71,4,1,04:49,04:25,00:24
2025-10-11,Team D,Team A,Team A,17,5,1,04:48,04:25,00:23
2025-10-11,Team D,Team A,Team A,3,5,1,04:44,03:59,00:45
2025-10-11,Team D,Team A,Team A,45,6,1,04:44,03:59,00:45
2025-10-11,Team D,Team A,Team A,29,6,1,04:25,03:50,00:35
2025-10-11,Team D,Team A,Team A,63,7,1,04:25,03:50,00:35
2025-10-11,Team D,Team A,Team A,92,6,1,04:25,03:50,00:35
2025-10-11,Team D,Team A,Team D,42,5,1,04:25,03:30,00:55
2025-10-11,Team D,Team A,Team D,44,6,1,04:25,03:30,00:55
2025-10-11,Team D,Team A,Team A,59,9,1,03:59,03:05,00:54
2025-10-11,Team D,Team A,Team A,72,7,1,03:59,03:05,00:54
2025-10-11,Team D,Team A,Team D,75,6,1,03:59,03:03,00:56
2025-10-11,Team D,Team A,Team A,9,7,1,03:50,03:12,00:38
2025-10-11,Team D,Team A,Team A,20,6,1,03:50,03:07,00:43
2025-10-11,Team D,Team A,Team A,39,6,1,03:50,03:07,00:43
2025-10-11,Team D,Team A,Team D,52,8,1,03:30,02:07,01:23
2025-10-11,Team D,Team A,Team D,88,8,1,03:30,03:03,00:27
2025-10-11,Team D,Team A,Team D,50,5,1,03:30,03:03,00:27
2025-10-11,Team D,Team A,Team D,25,6,1,03:30,03:03,00:27
2025-10-11,Team D,Team A,Team A,61,6,1,03:12,03:03,00:09
2025-10-11,Team D,Team A,Team A,88,6,1,03:07,03:03,00:04
2025-10-11,Team D,Team A,Team A,46,6,1,03:07,02:07,01:00
2025-10-11,Team D,Team A,Team A,48,9,1,03:05,02:07,00:58
2025-10-11,Team D,Team A,Team A,5,8,1,03:05,02:07,00:58
2025-10-11,Team D,Team A,Team A,61,7,1,03:03,02:07,00:56
2025-10-11,Team D,Team A,Team A,88,7,1,03:03,02:07,00:56
2025-10-11,Team D,Team A,Team D,63,6,1,03:03,02:07,00:56
2025-10-11,Team D,Team A,Team D,12,6,1,03:03,02:07,00:56
2025-10-11,Team D,Team A,Team D,88,9,1,03:03,02:07,00:56
2025-10-11,Team D,Team A,Team D,37,5,1,03:03,02:07,00:56
2025-10-11,Team D,Team A,Team A,17,6,1,02:07,02:06,00:01
2025-10-11,Team D,Team A,Team A,14,6,1,02:07,02:06,00:01
2025-10-11,Team D,Team A,Team A,71,5,1,02:07,02:06,00:01
2025-10-11,Team D,Team A,Team A,59,10,1,02:07,01:20,00:47
2025-10-11,Team D,Team A,Team A,72,8,1,02:07,02:06,00:01
2025-10-11,Team D,Team A,Team D,44,7,1,02:07,02:06,00:01
2025-10-11,Team D,Team A,Team D,46,6,1,02:07,02:06,00:01
2025-10-11,Team D,Team A,Team D,36,6,1,02:07,01:20,00:47
2025-10-11,Team D,Team A,Team D,28,6,1,02:07,01:20,00:47
2025-10-11,Team D,Team A,Team D,79,7,1,02:07,02:06,00:01
2025-10-11,Team D,Team A,Team A,48,10,1,02:06,01:20,00:46
2025-10-11,Team D,Team A,Team A,20,7,1,02:06,01:20,00:46
2025-10-11,Team D,Team A,Team A,39,7,1,02:06,01:20,00:46
2025-10-11,Team D,Team A,Team D,52,9,1,02:06,01:20,00:46
2025-10-11,Team D,Team A,Team D,84,8,1,02:06,01:20,00:46
2025-10-11,Team D,Team A,Team D,25,7,1,02:06,01:20,00:46
2025-10-11,Team D,Team A,Team A,63,8,1,01:20,00:40,00:40
2025-10-11,Team D,Team A,Team A,72,9,1,01:20,00:40,00:40
2025-10-11,Team D,Team A,Team A,88,8,1,01:20,00:40,00:40
2025-10-11,Team D,Team A,Team A,45,7,1,01:20,00:40,00:40
2025-10-11,Team D,Team A,Team D,42,6,1,01:20,00:00,01:20
2025-10-11,Team D,Team A,Team D,12,7,1,01:20,00:10,01:10
2025-10-11,Team D,Team A,Team D,46,7,1,01:20,00:00,01:20
2025-10-11,Team D,Team A,Team D,77,6,1,01:20,00:00,01:20
2025-10-11,Team D,Team A,Team D,51,7,1,01:20,00:00,01:20
2025-10-11,Team D,Team A,Team A,17,7,1,00:40,00:00,00:40
2025-10-11,Team D,Team A,Team A,48,11,1,00:40,00:00,00:40
2025-10-11,Team D,Team A,Team A,59,11,1,00:40,00:00,00:40
2025-10-11,Team D,Team A,Team A,39,8,1,00:40,00:00,00:40
2025-10-11,Team D,Team A,Team D,88,10,1,00:10,00:00,00:10
2025-10-11,Team D,Team A,Team A,14,7,1,00:06,00:00,00:06
2025-10-11,Team D,Team A,Team A,29,7,2,20:00,19:31,00:29
2025-10-11,Team D,Team A,Team A,Go,2,2,20:00,00:00,20:00
2025-10-11,Team D,Team A,Team A,59,12,2,20:00,19:31,00:29
2025-10-11,Team D,Team A,Team A,63,9,2,20:00,18:15,01:45
2025-10-11,Team D,Team A,Team A,72,10,2,20:00,19:31,00:29
2025-10-11,Team D,Team A,Team A,92,7,2,20:00,19:31,00:29
2025-10-11,Team D,Team A,Team D,52,10,2,20:00,18:12,01:48
2025-10-11,Team D,Team A,Team D,88,11,2,20:00,18:12,01:48
2025-10-11,Team D,Team A,Team D,Go,2,2,20:00,00:00,20:00
2025-10-11,Team D,Team A,Team D,50,6,2,20:00,19:31,00:29
2025-10-11,Team D,Team A,Team D,25,8,2,20:00,18:12,01:48
2025-10-11,Team D,Team A,Team D,75,7,2,20:00,19:31,00:29
2025-10-11,Team D,Team A,Team A,9,8,2,19:31,18:15,01:16
2025-10-11,Team D,Team A,Team A,14,8,2,19:31,18:15,01:16
2025-10-11,Team D,Team A,Team A,59,13,2,19:31,18:02,01:29
2025-10-11,Team D,Team A,Team A,88,9,2,19:31,18:15,01:16
2025-10-11,Team D,Team A,Team D,46,8,2,19:31,18:31,01:00
2025-10-11,Team D,Team A,Team D,8,6,2,18:31,18:00,00:31
2025-10-11,Team D,Team A,Team A,29,8,2,18:15,16:56,01:19
2025-10-11,Team D,Team A,Team A,39,9,2,18:15,16:56,01:19
2025-10-11,Team D,Team A,Team A,46,7,2,18:15,16:56,01:19
2025-10-11,Team D,Team A,Team A,92,8,2,18:15,16:56,01:19
2025-10-11,Team D,Team A,Team D,44,8,2,18:12,17:27,00:45
2025-10-11,Team D,Team A,Team D,12,8,2,18:12,17:27,00:45
2025-10-11,Team D,Team A,Team D,84,9,2,18:12,17:27,00:45
2025-10-11,Team D,Team A,Team A,5,9,2,18:02,16:55,01:07
2025-10-11,Team D,Team A,Team D,63,7,2,18:00,17:00,01:00
2025-10-11,Team D,Team A,Team D,50,7,2,17:31,16:54,00:37
2025-10-11,Team D,Team A,Team D,51,8,2,17:27,16:46,00:41
2025-10-11,Team D,Team A,Team D,28,7,2,17:27,16:01,01:26
2025-10-11,Team D,Team A,Team D,79,8,2,17:27,16:46,00:41
2025-10-11,Team D,Team A,Team D,36,7,2,17:00,16:01,00:59
2025-10-11,Team D,Team A,Team A,17,8,2,16:56,16:02,00:54
2025-10-11,Team D,Team A,Team A,71,6,2,16:56,16:01,00:55
2025-10-11,Team D,Team A,Team A,20,8,2,16:56,16:01,00:55
2025-10-11,Team D,Team A,Team A,45,8,2,16:56,16:01,00:55
2025-10-11,Team D,Team A,Team A,48,12,2,16:55,16:01,00:54
2025-10-11,Team D,Team A,Team D,46,9,2,16:54,16:01,00:53
2025-10-11,Team D,Team A,Team D,52,11,2,16:46,16:01,00:45
2025-10-11,Team D,Team A,Team D,88,12,2,16:46,16:01,00:45
2025-10-11,Team D,Team A,Team A,9,9,2,16:02,15:37,00:25
2025-10-11,Team D,Team A,Team A,14,9,2,16:01,15:37,00:24
2025-10-11,Team D,Team A,Team A,59,14,2,16:01,15:37,00:24
2025-10-11,Team D,Team A,Team A,72,11,2,16:01,15:37,00:24
2025-10-11,Team D,Team A,Team A,39,10,2,16:01,15:37,00:24
2025-10-11,Team D,Team A,Team D,42,7,2,16:01,15:37,00:24
2025-10-11,Team D,Team A,Team D,44,9,2,16:01,15:37,00:24
2025-10-11,Team D,Team A,Team D,77,7,2,16:01,15:37,00:24
2025-10-11,Team D,Team A,Team D,8,7,2,16:01,15:37,00:24
2025-10-11,Team D,Team A,Team D,79,9,2,16:01,15:37,00:24
2025-10-11,Team D,Team A,Team A,29,9,2,15:37,14:29,01:08
2025-10-11,Team D,Team A,Team A,48,13,2,15:37,13:43,01:54
2025-10-11,Team D,Team A,Team A,63,10,2,15:37,14:30,01:07
2025-10-11,Team D,Team A,Team A,5,10,2,15:37,14:03,01:34
2025-10-11,Team D,Team A,Team A,92,9,2,15:37,14:30,01:07
2025-10-11,Team D,Team A,Team D,63,8,2,15:37,14:24,01:13
2025-10-11,Team D,Team A,Team D,12,9,2,15:37,14:36,01:01
2025-10-11,Team D,Team A,Team D,84,10,2,15:37,14:35,01:02
2025-10-11,Team D,Team A,Team D,51,9,2,15:37,14:42,00:55
2025-10-11,Team D,Team A,Team D,37,6,2,15:37,14:29,01:08
2025-10-11,Team D,Team A,Team D,88,13,2,14:42,12:56,01:46
2025-10-11,Team D,Team A,Team D,25,9,2,14:36,13:20,01:16
2025-10-11,Team D,Team A,Team D,52,12,2,14:35,12:56,01:39
2025-10-11,Team D,Team A,Team A,61,8,2,14:30,13:16,01:14
2025-10-11,Team D,Team A,Team A,88,10,2,14:30,13:16,01:14
2025-10-11,Team D,Team A,Team A,46,8,2,14:29,13:23,01:06
2025-10-11,Team D,Team A,Team D,50,8,2,14:29,13:24,01:05
2025-10-11,Team D,Team A,Team D,75,8,2,14:24,12:57,01:27
2025-10-11,Team D,Team A,Team A,45,9,2,14:03,12:36,01:27
2025-10-11,Team D,Team A,Team A,3,6,2,13:43,12:36,01:07
2025-10-11,Team D,Team A,Team D,36,8,2,13:24,12:33,00:51
2025-10-11,Team D,Team A,Team A,71,7,2,13:23,12:48,00:35
2025-10-11,Team D,Team A,Team D,28,8,2,13:20,12:33,00:47
2025-10-11,Team D,Team A,Team A,17,9,2,13:16,12:33,00:43
2025-10-11,Team D,Team A,Team A,14,10,2,13:16,12:33,00:43
2025-10-11,Team D,Team A,Team D,44,10,2,12:56,12:33,00:23
2025-10-11,Team D,Team A,Team D,46,10,2,12:56,12:33,00:23
2025-10-11,Team D,Team A,Team D,79,10,2,12:56,12:33,00:23
2025-10-11,Team D,Team A,Team A,20,9,2,12:48,11:44,01:04
2025-10-11,Team D,Team A,Team A,59,15,2,12:36,11:30,01:06
2025-10-11,Team D,Team A,Team A,72,12,2,12:36,11:30,01:06
2025-10-11,Team D,Team A,Team A,9,10,2,12:33,11:44,00:49
2025-10-11,Team D,Team A,Team A,39,11,2,12:33,11:33,01:00
2025-10-11,Team D,Team A,Team D,63,9,2,12:33,11:30,01:03
2025-10-11,Team D,Team A,Team D,12,10,2,12:33,11:30,01:03
2025-10-11,Team D,Team A,Team D,84,11,2,12:33,11:39,00:54
2025-10-11,Team D,Team A,Team D,51,10,2,12:33,11:08,01:25
2025-10-11,Team D,Team A,Team D,37,7,2,12:33,11:44,00:49
2025-10-11,Team D,Team A,Team A,29,10,2,11:44,10:55,00:49
2025-10-11,Team D,Team A,Team A,92,10,2,11:44,10:41,01:03
2025-10-11,Team D,Team A,Team D,36,9,2,11:44,10:37,01:07
2025-10-11,Team D,Team A,Team D,88,14,2,11:39,10:29,01:10
2025-10-11,Team D,Team A,Team A,63,11,2,11:33,10:53,00:40
2025-10-11,Team D,Team A,Team A,59,16,2,11:30,11:12,00:18
2025-10-11,Team D,Team A,Team A,5,11,2,11:30,10:19,01:11
2025-10-11,Team D,Team A,Team D,46,11,2,11:30,10:47,00:43
2025-10-11,Team D,Team A,Team D,28,9,2,11:30,10:38,00:52
2025-10-11,Team D,Team A,Team A,48,14,2,11:12,10:19,00:53
2025-10-11,Team D,Team A,Team D,52,13,2,11:08,10:29,00:39
2025-10-11,Team D,Team A,Team A,61,9,2,10:55,09:59,00:56
2025-10-11,Team D,Team A,Team A,88,11,2,10:53,09:43,01:10
2025-10-11,Team D,Team A,Team D,75,9,2,10:47,09:43,01:04
2025-10-11,Team D,Team A,Team A,46,9,2,10:41,10:06,00:35
2025-10-11,Team D,Team A,Team D,50,9,2,10:38,09:43,00:55
2025-10-11,Team D,Team A,Team D,25,10,2,10:37,09:43,00:54
2025-10-11,Team D,Team A,Team D,44,11,2,10:29,09:05,01:24
2025-10-11,Team D,Team A,Team D,79,11,2,10:29,09:05,01:24
2025-10-11,Team D,Team A,Team A,3,7,2,10:19,09:43,00:36
2025-10-11,Team D,Team A,Team A,45,10,2,10:19,09:43,00:36
2025-10-11,Team D,Team A,Team A,71,8,2,10:06,09:05,01:01
2025-10-11,Team D,Team A,Team A,17,10,2,09:59,09:05,00:54
2025-10-11,Team D,Team A,Team A,14,11,2,09:43,09:05,00:38
2025-10-11,Team D,Team A,Team A,59,17,2,09:43,09:05,00:38
2025-10-11,Team D,Team A,Team A,72,13,2,09:43,09:05,00:38
2025-10-11,Team D,Team A,Team D,42,8,2,09:43,09:05,00:38
2025-10-11,Team D,Team A,Team D,77,8,2,09:43,09:05,00:38
2025-10-11,Team D,Team A,Team D,8,8,2,09:43,09:05,00:38
2025-10-11,Team D,Team A,Team A,9,11,2,09:05,08:14,00:51
2025-10-11,Team D,Team A,Team A,48,15,2,09:05,07:46,01:19
2025-10-11,Team D,Team A,Team A,20,10,2,09:05,08:14,00:51
